年度,期作,縣市,鄉鎮,作物代碼,作物,種植面積,收穫面積,稻穀總產量,稻穀單位產量,糙米總產量,糙米單位產量
113,一期作,台南市,下營區,C01 ,稉稻,547.96,547.96,4684510,8549,3934988,7181
113,二期作,台南市,下營區,C01 ,稉稻,286.34,286.34,1348661,4710,1109409,3874
113,一期作,台南市,關廟區,C03 ,軟秈稻,4.15,4.15,35084,8454,27716,6679
113,一期作,台南市,後壁區,C01 ,稉稻,3110.35,3110.35,26015338,8364,21678959,6970
113,二期作,台南市,後壁區,C01 ,稉稻,2741.11,2741.11,17865606,6518,14828555,5410
113,一期作,台南市,後壁區,C04 ,稉糯稻,7,7,58177,8311,48101,6872
113,二期作,台南市,後壁區,C04 ,稉糯稻,150,150,669300,4462,522054,3480
113,一期作,台南市,歸仁區,C01 ,稉稻,21,21,174657,8317,139202,6629
113,二期作,台南市,歸仁區,C01 ,稉稻,0.37,0.37,1335,3607,1041,2813
113,一期作,台南市,歸仁區,C03 ,軟秈稻,284.46,284.46,2356995,8286,1878525,6604
113,一期作,台南市,東山區,C01 ,稉稻,515.11,515.11,4362982,8470,3662287,7110
113,二期作,台南市,東山區,C01 ,稉稻,638.25,638.25,3791843,5941,3157088,4946
113,一期作,台南市,仁德區,C01 ,稉稻,22.1,22.1,148777,6732,112356,5084
113,一期作,台南市,仁德區,C03 ,軟秈稻,123.01,123.01,934469,7597,705711,5737
113,一期作,台南市,白河區,C01 ,稉稻,1341.5,1341.5,11401973,8499,9350606,6970
113,二期作,台南市,白河區,C01 ,稉稻,1379.48,1379.48,8755560,6347,7271493,5271
113,一期作,台南市,白河區,C04 ,稉糯稻,3,3,24933,8311,20600,6867
113,一期作,台南市,柳營區,C01 ,稉稻,1307.87,1307.87,9245333,7069,7707834,5893
113,二期作,台南市,柳營區,C01 ,稉稻,1242.07,1242.07,6768039,5449,5573480,4487
113,一期作,台南市,新營區,C01 ,稉稻,372.19,372.19,3074662,8261,2545205,6838
113,二期作,台南市,新營區,C01 ,稉稻,311.13,311.13,1405685,4518,1123705,3612
113,一期作,台南市,鹽水區,C01 ,稉稻,72.49,72.49,604712,8342,505660,6976
113,二期作,台南市,鹽水區,C01 ,稉稻,41.49,41.49,244501,5893,200149,4824
113,一期作,台南市,六甲區,C01 ,稉稻,1042.8,1042.8,9416484,9030,7862764,7540
113,二期作,台南市,六甲區,C01 ,稉稻,965.39,965.39,4856877,5031,4025380,4170
113,一期作,台北市,北投區,C01 ,稉稻,215.79,215.79,1161598,5383,910693,4220
